CalendarDay,Bucket,DamageRate
2/18/2016,1,0.871332635
8/17/2009,1,0.626874966
10/7/2016,1,0.890820802
2/19/2016,1,0.831492637
6/17/2013,1,0.737140657
9/17/2010,1,0.725848935
6/12/2013,1,0.71735806
2/20/2016,1,0.859065148
2/21/2016,1,0.885727287
4/7/2017,1,0.900271789
6/14/2013,1,0.72279619
2/16/2016,1,0.878235154
6/13/2013,1,0.728176906
4/14/2017,1,0.88832096
8/14/2013,1,0.76065626
2/10/2016,1,0.83718637
2/12/2016,1,0.863879517
11/16/2012,1,0.71159009
4/21/2017,1,0.892848933
10/1/2010,1,0.707913497
2/9/2016,1,0.872165406
6/20/2013,1,0.739793116
2/22/2016,1,0.813256749
6/18/2013,1,0.695804686
2/15/2016,1,0.85737414
2/14/2016,1,0.883278281
2/13/2016,1,0.868653679
9/24/2010,1,0.715111686
6/19/2013,1,0.719278185
6/24/2013,1,0.738331823
3/1/2016,1,0.86459372
3/30/2017,1,0.86427767
6/4/2013,1,0.689429419
6/5/2013,1,0.754777199
3/2/2016,1,0.872708076
2/29/2016,1,0.859518328
8/21/2010,1,0.741984776
3/29/2017,1,0.842893469
8/14/2010,1,0.757437816
3/4/2016,1,0.852987436
5/31/2013,1,0.598595897
6/3/2013,1,0.718041332
2/28/2016,1,0.931409688
3/3/2016,1,0.87060834
8/18/2009,1,0.701301933
2/24/2016,1,0.864489064
6/10/2013,1,0.708561962
2/25/2016,1,0.84569767
12/16/2016,1,0.855703398
6/11/2013,1,0.686117336
9/4/2010,1,0.755958956
2/23/2016,1,0.865788928
6/7/2013,1,0.671511681
9/11/2010,1,0.735930062
10/6/2016,1,0.855322284
8/28/2010,1,0.748968866
2/27/2016,1,0.914153736
2/26/2016,1,0.845824326
3/5/2016,1,0.873665168
6/6/2013,1,0.734875684
10/15/2016,1,0.869918028
10/6/2015,1,0.849717779
10/22/2016,1,0.886954884
10/5/2015,1,0.825427649
10/28/2013,1,0.811888709
6/24/2011,1,0.710750185
11/4/2013,1,0.793286
10/7/2015,1,0.773198613
6/17/2011,1,0.700942293
10/9/2015,1,0.823885956
10/10/2015,1,0.895421606
10/23/2013,1,0.76894588
10/24/2013,1,0.813613823
10/3/2015,1,0.882489532
10/8/2015,1,0.827091648
10/23/2016,1,0.891051074
7/8/2011,1,0.909391502
11/1/2013,1,0.727019101
9/29/2015,1,0.846972726
10/13/2017,1,0.915593201
9/30/2015,1,0.8187883
9/28/2015,1,0.825301123
10/22/2013,1,0.765111339
10/30/2013,1,0.795430162
7/1/2011,1,0.726965283
10/29/2013,1,0.7591119
12/9/2016,1,0.867796511
10/1/2015,1,0.802233248
10/6/2017,1,0.893574693
10/2/2015,1,0.857987658
10/4/2015,1,0.821003436
10/20/2016,1,0.822832603
5/27/2011,1,0.681432626
10/20/2015,1,0.823019528
10/19/2015,1,0.826194182
10/11/2013,1,0.764753928
12/10/2016,1,0.898147962
10/21/2015,1,0.836229195
10/8/2013,1,0.784036879
5/20/2011,1,0.677650326
10/24/2015,1,0.830350868
10/23/2015,1,0.820838623
10/19/2012,1,0.696786956
9/15/2017,1,0.90395395
10/9/2013,1,0.804437462
10/15/2013,1,0.801793732
6/10/2011,1,0.718341669
8/3/2009,1,0.684859888
10/18/2013,1,0.735366618
10/13/2015,1,0.83142049
10/21/2013,1,0.830801315
9/22/2017,1,0.904908581
10/12/2015,1,0.810365621
10/14/2015,1,0.829296099
10/11/2015,1,0.858406793
6/3/2011,1,0.691789434
10/18/2015,1,0.818140013
10/17/2015,1,0.867256796
10/17/2013,1,0.773165413
10/14/2013,1,0.766643497
10/15/2015,1,0.826724513
9/21/2015,1,0.834747563
11/25/2013,1,0.787461191
9/10/2015,1,0.850193986
12/8/2016,1,0.855772702
8/19/2011,1,0.6749083
9/11/2015,1,0.852179011
10/25/2016,1,0.829809705
11/3/2017,1,0.920242328
11/19/2013,1,0.817917209
11/20/2013,1,0.775642042
9/14/2015,1,0.830384165
9/13/2015,1,0.891479127
9/12/2015,1,0.813533867
9/9/2015,1,0.826657085
8/12/2011,1,0.633585576
9/7/2015,1,0.817063077
12/2/2013,1,0.783154903
7/29/2009,1,0.63405877
9/4/2015,1,0.805798626
9/3/2015,1,0.795450164
9/2/2015,1,0.822533466
9/5/2015,1,0.810634966
12/3/2013,1,0.803894245
8/26/2011,1,0.650309321
7/30/2009,1,0.637710619
11/10/2017,1,0.909064001
11/26/2013,1,0.82777657
11/27/2013,1,0.847021916
11/29/2013,1,0.844607607
9/8/2015,1,0.832763284
9/6/2015,1,0.787178905
10/7/2013,1,0.776737111
9/22/2015,1,0.83400214
11/8/2013,1,0.706031579
10/20/2017,1,0.904976993
7/22/2011,1,0.705617562
11/7/2013,1,0.777755952
10/12/2012,1,0.702637743
9/24/2015,1,0.851718511
11/6/2013,1,0.781902273
7/15/2011,1,0.688909637
9/27/2015,1,0.770586559
7/31/2009,1,0.685370057
9/25/2015,1,0.839101483
11/11/2013,1,0.826304413
9/26/2015,1,0.832130487
11/12/2013,1,0.779100784
10/27/2017,1,0.913252044
11/15/2013,1,0.750895427
9/17/2015,1,0.84441356
9/16/2015,1,0.786016048
9/15/2015,1,0.82001166
11/14/2013,1,0.747672299
8/5/2011,1,0.664690303
9/18/2015,1,0.816873286
11/18/2013,1,0.8229654
9/20/2015,1,0.867252422
10/24/2016,1,0.876769745
11/13/2013,1,0.791348267
9/19/2015,1,0.846956974
11/5/2013,1,0.796951872
7/29/2011,1,0.675216211
10/27/2015,1,0.824487965
3/4/2011,1,0.688860082
9/2/2013,1,0.848446906
11/30/2015,1,0.843000903
11/28/2015,1,0.849219717
12/1/2015,1,0.882654786
11/29/2015,1,0.930729959
12/2/2015,1,0.855083508
8/29/2013,1,0.761922056
2/25/2011,1,0.720199089
12/4/2015,1,0.78271312
12/3/2015,1,0.860587082
8/30/2013,1,0.761850639
7/28/2017,1,0.892214483
7/21/2017,1,0.898410143
11/27/2015,1,0.794534173
3/18/2011,1,0.676952041
10/17/2016,1,0.836287998
9/9/2013,1,0.771885048
11/22/2015,1,0.934935593
11/21/2015,1,0.906154558
11/23/2015,1,0.864772428
12/12/2016,1,0.886619243
11/24/2015,1,0.854435902
10/16/2016,1,0.86631924
9/5/2013,1,0.761787589
8/7/2009,1,0.617010823
3/11/2011,1,0.752031471
9/6/2013,1,0.753042559
9/4/2013,1,0.786441849
11/25/2015,1,0.865928797
12/12/2015,1,0.818986515
7/7/2017,1,0.900528749
10/14/2016,1,0.846507896
12/13/2015,1,0.874558304
11/2/2012,1,0.710714666
12/13/2016,1,0.868624033
2/11/2011,1,0.674826943
8/19/2013,1,0.792093229
2/4/2011,1,0.689261105
12/16/2015,1,0.828029277
8/16/2013,1,0.730390445
8/10/2009,1,0.656326007
12/14/2015,1,0.861591434
8/20/2013,1,0.762056416
12/15/2015,1,0.803782642
12/11/2015,1,0.776438752
2/18/2011,1,0.692138817
12/7/2015,1,0.848680393
8/26/2013,1,0.793295507
12/6/2015,1,0.909539596
12/5/2015,1,0.902129136
3/27/2016,1,0.887892123
8/27/2013,1,0.795662615
7/14/2017,1,0.890426054
8/28/2013,1,0.787592533
2/13/2011,1,
8/21/2013,1,0.729389274
12/10/2015,1,0.813727282
12/8/2015,1,0.85058118
8/4/2017,1,0.893482651
12/9/2015,1,0.857481074
4/1/2011,1,0.645983166
12/11/2016,1,0.909983782
9/26/2013,1,0.77871412
10/19/2016,1,0.84461101
11/3/2015,1,0.817160314
11/4/2015,1,0.839874642
4/29/2011,1,0.664330004
8/25/2017,1,0.885696592
9/24/2013,1,0.778804113
4/22/2011,1,0.660083215
11/7/2015,1,0.873807308
11/6/2015,1,0.846302043
8/5/2009,1,0.665365719
11/2/2015,1,0.852527705
11/5/2015,1,0.863668109
10/31/2015,1,0.891418484
5/13/2011,1,0.690904107
12/17/2015,1,0.829808749
10/28/2015,1,0.841243205
10/26/2015,1,0.831213073
9/8/2017,1,0.894944026
10/3/2013,1,0.755868912
10/25/2015,1,0.871485698
10/2/2013,1,0.808805927
11/8/2015,1,0.919662042
10/1/2013,1,0.781821034
9/30/2013,1,0.807347021
5/6/2011,1,0.652697341
10/29/2015,1,0.830163768
11/1/2015,1,-1.676721845
9/1/2017,1,0.888683866
11/15/2015,1,0.878080374
8/4/2009,1,0.684201321
11/16/2015,1,0.840516603
8/6/2009,1,0.656047096
9/16/2013,1,0.800438065
11/17/2015,1,0.841111938
8/11/2017,1,0.903864556
9/13/2013,1,0.71725256
9/11/2013,1,0.777818767
3/25/2011,1,0.663917301
11/20/2015,1,0.854221915
11/19/2015,1,0.871510397
9/12/2013,1,0.800232096
10/26/2012,1,0.658337661
11/18/2015,1,0.848044276
11/14/2015,1,0.891404403
11/10/2015,1,0.859236741
9/20/2013,1,0.777765378
9/19/2013,1,0.765706363
8/18/2017,1,0.869268534
11/9/2015,1,0.901018078
11/11/2015,1,0.865285439
4/15/2011,1,0.656654656
11/12/2015,1,0.823035904
9/23/2013,1,0.773956278
9/18/2013,1,0.822884685
9/17/2013,1,0.776118169
10/18/2016,1,0.795342453
11/13/2015,1,0.855602561
9/10/2013,1,0.812546679
4/8/2011,1,0.652546474
1/2/2016,1,0.847429247
